title,city,info,link,remote
Junior Python Developer to Kyiv,,"Повна зайнятість, дистанційна робота. Досвід роботи від 2 років. Вища освіта.
                            We at Talent500 are looking for engineers who will be responsible for building and scaling our backend…⁠",https://www.work.ua/jobs/4687486/,
Python developer,,"Повна зайнятість. Досвід роботи від 2 років.
                            Привіт, ми — Data Science Lab компанії MyCredit. Зараз в пошуках колеги, який стане частиною нашої дружньої…⁠",https://www.work.ua/jobs/4519611/,
"Back end developer (Python, Django framework)",,"Повна зайнятість, дистанційна робота. Досвід роботи від 1 року.
                            Мы — PM Digital TransformationPM Digital Transformation — это системные решения для бизнеса. Интегрируем…⁠",https://www.work.ua/jobs/4504150/,
Python Developer,,"Повна зайнятість. Досвід роботи від 2 років. Вища освіта.
                            Apriorit is an international IT company, an expert in the following areas: web development, cybersecurity,…⁠",https://www.work.ua/jobs/4022446/,
Junior Python Full stack developer,,"Повна зайнятість, готові взяти студента. Досвід роботи від 1 року.
                            WeMyIT is looking for a Junior Python Developer to join the company located in Zaporizhzhia (can't offer…⁠",https://www.work.ua/jobs/4597601/,
Python-програміст,,"Повна зайнятість, готові взяти студента. Досвід роботи від 1 року. Вища освіта.
                            Міжнародна група компаній «Tangram» з офісами в Канаді, Німеччині та Україні шукає кандидатів на вакансію…⁠",https://www.work.ua/jobs/3208591/,
Python-програміст,,"Повна зайнятість, готові взяти студента. Досвід роботи від 1 року. Вища освіта.
                            Міжнародна група компаній «Tangram» з офісами в Канаді, Німеччині та Україні шукає кандидатів на вакансію…⁠",https://www.work.ua/jobs/4694420/,
"Разработчик (Python, Full Stack)",,"Повна зайнятість. Досвід роботи від 1 року. Вища освіта.
                            Разработчик Python / Full Stack Наша компания расширяет перечень предоставляемых услуг нашим клиентам…⁠",https://www.work.ua/jobs/4439154/,
Middle Python Developer,,"Повна зайнятість, дистанційна робота. Досвід роботи від 2 років.
                            Alpha Bots на рынке уже более 5 лет и нашими клиентами являются лидеры различных рынков — будет прекрасная…⁠",https://www.work.ua/jobs/4693758/,
Python Developer in Test (Apps),,"Повна зайнятість. Досвід роботи від 1 року.
                            Ajax — це екосистема, робота якої неможлива без якісних і зручних у користуванні застосунків. За роботу…⁠",https://www.work.ua/jobs/4671840/,
Senior Python engineer,,"Повна зайнятість, дистанційна робота. Досвід роботи від 5 років. Вища освіта.
                            InCountry, Inc. provides information technology services. The Company offers data residency as a service…⁠",https://www.work.ua/jobs/4642473/,
Python/Django developer,,"Повна зайнятість, дистанційна робота. Досвід роботи від 2 років. Вища освіта.
                            Reqirements:   Python / Django / REST API   Celery Task Queue    mySQL, PostgreSQL    HTML   Will be a plus…⁠",https://www.work.ua/jobs/4450495/,
Python developer (Intern),,"Повна зайнятість.
                            Apriorit is an international IT company, an expert in the following areas: web development, cybersecurity,…⁠",https://www.work.ua/jobs/4662343/,
Middle/Senior Automation QA engineer (Python),,"Повна зайнятість. Досвід роботи від 2 років. Вища освіта.
                            Dish Ukraine is a wholly owned subsidiary of Dish Technologies (NASDAQ: Dish). Our mission is to develop…⁠",https://www.work.ua/jobs/3771493/,
Python Developer,,"Повна зайнятість, готові взяти студента. Досвід роботи від 1 року.
                            Про проєкт Ми — Ajax Systems, розробник і виробник бездротових систем безпеки Ajax із можливостями розумного…⁠",https://www.work.ua/jobs/4661702/,
"DevOps engineer (middle, senior, Jenkins, Python)",,"Повна зайнятість. Досвід роботи від 5 років.
                            ABOUT THETARAY:  At Thetaray we believe that banks no longer have to de-risk when they can expand their…⁠",https://www.work.ua/jobs/4692242/,
Backend/Python Engineer,,"Повна зайнятість. Досвід роботи від 1 року.
                            Ми — продуктова компанія, що розробляє систему «Розумний Будинок» та рішення для автоматизації будівель…⁠",https://www.work.ua/jobs/4218010/,
Python back-end Developer,,"Повна зайнятість, дистанційна робота, готові взяти студента, готові взяти людину з інвалідністю.
                            Вимоги:    Від півроку досвіду розробки на Python3     Базові знання SQL     Базові знання Unix/Linux,…⁠",https://www.work.ua/jobs/4691392/,
Middle Full Stack Developer (Python),,"Повна зайнятість, неповна зайнятість, дистанційна робота, готові взяти студента. Досвід роботи від 2 років.
                            Кого мы ищем? Специалиста в небольшую команду, которая разрабатывает собственное облачное хранилище.…⁠",https://www.work.ua/jobs/4690728/,
Full stack Python (React + Django) Engineer,,"Повна зайнятість. Досвід роботи від 5 років. Вища освіта.
                            About Dwell    Company was founded September 2017 in Dallas, US   Mission of the company is to revolutionize…⁠",https://www.work.ua/jobs/4652897/,
Python developer,,"Повна зайнятість, дистанційна робота, готові взяти студента, готові взяти людину з інвалідністю. Досвід роботи від 1 року.
                            Мы ищем разработчика приложений на Python, который присоединился бы к нашей команде для реализации наших…⁠",https://www.work.ua/jobs/4580980/,
"Strong Junior, Middle Python (Django) Developer",,"Повна зайнятість. Досвід роботи від 1 року.
                            Необходимые навыки:    1+ год опыта программирования на языке Python;   1+ год опыта работы с фреймворком…⁠",https://www.work.ua/jobs/3955969/,
Middle Back-end Developer (Python/﻿ PHP/﻿ Node. js),,"Повна зайнятість. Досвід роботи від 2 років. Вища освіта.
                            Middle Back-end Developer Компания Dinamicka Development приглашает к себе в команду Middle Back-end…⁠",https://www.work.ua/jobs/3940506/,
Junior Python Developer to Kyiv,,"Повна зайнятість, дистанційна робота, готові взяти людину з інвалідністю. Досвід роботи від 2 років. Вища освіта.
                            We at Talent500 are looking for engineers who will be responsible for building and scaling our backend…⁠",https://www.work.ua/jobs/4687470/,
Junior Python Developer,,"Повна зайнятість. Досвід роботи від 1 року.
                            Компания Pixelteh для своей продуктовой команды, которая разрабатывает инструментарий для performance-маркетинга…⁠",https://www.work.ua/jobs/4529807/,
Full-Stack Python Engineer,,"Повна зайнятість. Досвід роботи від 2 років.
                            Требования   Не менее 3-х лет коммерческого опыта как Full-Stack разработчик.    Экспертные знания Python…⁠",https://www.work.ua/jobs/3579399/,
Trainee/Junior/Middle/Senior Odoo (Python) Developer,,"Повна зайнятість, неповна зайнятість, дистанційна робота. Досвід роботи від 1 року.
                            Ми шукаємо ініціативних та драйвових розробників Python. У нас є що запропонувати спеціалістам Trainee,…⁠",https://www.work.ua/jobs/4683935/,
"Back-end developer (Ruby on Rails, PHP, Python)",,"Повна зайнятість, неповна зайнятість, дистанційна робота, готові взяти студента, готові взяти людину з інвалідністю.
                            DONE IT объявляет о вакансии Web/Back-end developer, чтобы расширить нашу команду. Наша компания поставляет…⁠",https://www.work.ua/jobs/2921388/,
Программист Python для Odoo,,"Повна зайнятість.
                            Мы молодая компания по производству и реализации одежды. Сейчас находимся на этапе внедрения Odoo erp —…⁠",https://www.work.ua/jobs/4334775/,
Junior Python Developer in Test (Apps),,"Повна зайнятість, готові взяти студента. Досвід роботи від 1 року.
                            Ajax Systems — розробник і виробник бездротових систем безпеки Ajax із можливостями розумного дому. Це 36…⁠",https://www.work.ua/jobs/4633701/,
Викладач Python у дитячу школу програмування,,"Повна зайнятість, неповна зайнятість, готові взяти студента.
                            Logika — це міжнародна школа програмування для дітей. Ми впроваджуємо новітні IT технології в навчання…⁠",https://www.work.ua/jobs/4625337/,
Middle Python Developer,,"Повна зайнятість. Досвід роботи від 1 року.
                            Необхідні навички  2+ years of experience working with Python;     Experience working with Django/Flask;…⁠",https://www.work.ua/jobs/3023230/,
Преподаватель курсов Python i Frontend,,"Неповна зайнятість. Досвід роботи від 2 років. Вища освіта.
                            Требования:    Преподаватель курсов Python i Frontend.   Опыт работы от 2 лет   Условия работы: Очное…⁠",https://www.work.ua/jobs/4070774/,
Junior/Middle Python Developer,,"Повна зайнятість, готові взяти студента. Досвід роботи від 1 року.
                            Are you a person who is in love with Python but also an investigator who is in search of a vibrant career…⁠",https://www.work.ua/jobs/4679515/,
Викладач Python у дитячу школу програмування,,"Повна зайнятість, неповна зайнятість, готові взяти студента.
                            Logika — це міжнародна школа програмування для дітей. Ми впроваджуємо новітні IT технології в навчання…⁠",https://www.work.ua/jobs/4678892/,
Middle Python Developer,,"Повна зайнятість. Досвід роботи від 2 років. Вища освіта.
                            Необхідні навички2+ years of experience working with Python; Experience working with Django/Flask; Experience…⁠",https://www.work.ua/jobs/3090154/,
Python/Django-программист,,"Повна зайнятість. Досвід роботи від 1 року. Вища освіта.
                            Компания Admix Global существует с 2016 года и за это время смогла зарекомендовать себя в качестве надежного…⁠",https://www.work.ua/jobs/4678812/,
"Программист Embedded, C, C++, C#, Java, SQL, Python, ERM, PLC (стажер)",,"Повна зайнятість, готові взяти студента.
                            Годовая стажировка в Германии с последующим трудоустройством в Днепре, Украине. Кто предоставляет? IAW…⁠",https://www.work.ua/jobs/4678613/,
Junior Python Developer,,"Повна зайнятість. Незакінчена вища освіта.
                            Synergy Way is a company, that focuses on Enterprise Systems development and support. Also, we are engaged…⁠",https://www.work.ua/jobs/4678523/,
Junior Python Developer (Trainee) в Запорожье,,"Повна зайнятість, дистанційна робота, готові взяти студента.
                            Запрошуємо талановитих людей на позицію Junior Python Developer. Беремо без досвіду роботи і навичок…⁠",https://www.work.ua/jobs/4672591/,
Middle+/Senior Python Developer,,"Повна зайнятість. Досвід роботи від 2 років. Вища освіта.
                            Компания iSi technologies занимается полной автоматизацией бизнеса в сфере NEMT (non-emergency medical…⁠",https://www.work.ua/jobs/2632776/,
Junior Python Full stack developer,,"Повна зайнятість, готові взяти студента. Досвід роботи від 1 року.
                            WeMyIT is looking for a Junior Python Developer to join the company located in Zaporizhzhia (can't offer…⁠",https://www.work.ua/jobs/3717203/,
Python Developer (Middle),,"Повна зайнятість, дистанційна робота. Досвід роботи від 2 років. Вища освіта.
                            Due to our recent decision to increase the number of staff at our company, we are looking for a person…⁠",https://www.work.ua/jobs/4571156/,
Python developer,,"Неповна зайнятість, дистанційна робота. Досвід роботи від 1 року.
                            Вимоги:    Отличное знание языка программирования Python;   Знание фреймворка Tornado, Django;   Знание…⁠",https://www.work.ua/jobs/4675911/,
"Full Stack Web Developer (Vue.js, PostgeSQL, Python Django)",,"Повна зайнятість. Досвід роботи від 2 років.
                            C4R — международная консалтинговая компания в области разработки и внедрения инновационных решений для…⁠",https://www.work.ua/jobs/4675741/,
Python developer (Middle),,"Повна зайнятість. Досвід роботи від 2 років.
                            We’re building a web application for the US healthcare industry. It integrates with various EMRs and…⁠",https://www.work.ua/jobs/4675413/,
Junior Data Scientist (with Python),,"Повна зайнятість. Досвід роботи від 1 року. Вища освіта.
                            Активно ищу кандидатов на позицию Junior Data Scientist (Python) с техническим образованием, аналитическим…⁠",https://www.work.ua/jobs/4675167/,
Python Backend developer,,"Повна зайнятість. Досвід роботи від 2 років. Вища освіта.
                            Requirements:   2+ years of commercial experience, designing, implementing, supporting backend services…⁠",https://www.work.ua/jobs/4477295/,
"Преподаватель онлайн-программирования по MineСraft Education (Scratch, Python)",,"Повна зайнятість, неповна зайнятість, дистанційна робота.
                            В связи с увеличением количества учеников, ищем преподавателей по Программированию на MineСraft Education…⁠",https://www.work.ua/jobs/4673124/,
"Викладач у ІТ-школу програмування (Python, Scratch)",,"Повна зайнятість, неповна зайнятість, готові взяти студента. Незакінчена вища освіта.
                            Контакти: Тел. +380937124239(Святослава) Що таке Logika: Ми впроваджуємо новітні IT технології в навчання…⁠",https://www.work.ua/jobs/4622177/,
"Викладач у ІТ-школу програмування (Python, Scratch)",,"Повна зайнятість, неповна зайнятість, готові взяти студента. Незакінчена вища освіта.
                            Контакти:  Тел. +380937124239(Святослава) Що таке Logika: Ми впроваджуємо новітні IT технології в навчання…⁠",https://www.work.ua/jobs/4673625/,
Python developer,,"Повна зайнятість, дистанційна робота, готові взяти людину з інвалідністю. Досвід роботи від 2 років.
                            Мы — «4Service Group» и наша миссия — УЛУЧШАТЬ СЕРВИС в Украине и во всем мире!Более 20 лет мы занимаемся…⁠",https://www.work.ua/jobs/3598477/,
Middle/Senior Python Developer,,"Повна зайнятість, дистанційна робота, готові взяти студента, готові взяти людину з інвалідністю. Досвід роботи від 1 року.
                            Time to move on! StarNavi looking for a middle Python developer to join our friendly team and share the…⁠",https://www.work.ua/jobs/4278718/,
Junior Quantitative Developer (Python),,"Неповна зайнятість, дистанційна робота, готові взяти студента. Вища освіта.
                            Ищем помощника на исследовательские проекты в области финансового моделирования / алготрейдинга. Требуется:…⁠",https://www.work.ua/jobs/2857290/,
Python developer,,"Повна зайнятість, неповна зайнятість, дистанційна робота, готові взяти студента.
                            Quintagroup is a company of Python/JS/AWS experts that provides consulting, programming, and support…⁠",https://www.work.ua/jobs/1665750/,
Python Middle Developer,,"Повна зайнятість, дистанційна робота. Досвід роботи від 2 років.
                            Необходимые навыки:   Опыт работы в IT не менее двух лет   Знание Python, опыт работы с каким-либо веб-фреймворком…⁠",https://www.work.ua/jobs/4404554/,
Python Middle Developer,,"Повна зайнятість, дистанційна робота. Досвід роботи від 2 років.
                            Необходимые навыки:   Опыт работы в IT не менее двух лет   Знание Python, опыт работы с каким-либо веб-фреймворком…⁠",https://www.work.ua/jobs/4404556/,
Junior Python Developer,,"Повна зайнятість, готові взяти студента.
                            Datawiz.io — продуктова ІТ компанія, яка розробляє онлайн-сервіси для аналітики даних в роздрібній торгівлі…⁠",https://www.work.ua/jobs/4668419/,
Преподаватель курсов программирования Python,,"Неповна зайнятість. Досвід роботи від 5 років.
                            ОЦ ПРОГРЕСС требуются преподаватели: «Программирование на Python»   График работы — свободный можно выбрать…⁠",https://www.work.ua/jobs/3750419/,
Trainee/Junior Python developer,,"Повна зайнятість, готові взяти студента.
                            Нам в команду нужен Junior Python developer с желанием изучать Django и Flask для работы над интересными…⁠",https://www.work.ua/jobs/2192963/,
Python-програміст,,"Повна зайнятість. Досвід роботи від 1 року.
                            Проект по створенню системи управління доступом в приміщення (база даних, відео…).  На першому етапі…⁠",https://www.work.ua/jobs/4387067/,
Викладач програмування Python,,"Неповна зайнятість, дистанційна робота, готові взяти студента. Вища освіта.
                            Академія професій майбутнього — це сучасний IT- центр для дітей від 6 16 років. Запрошуємо в команду…⁠",https://www.work.ua/jobs/3407541/,
Junior Python developer,,"Повна зайнятість.
                            We are Ginkgo Ukraine! A rapidly growing IT company which specializes in automation of different web…⁠",https://www.work.ua/jobs/3360414/,
Python/Django developer,,"Повна зайнятість. Досвід роботи від 2 років.
                            Experience with Python 2+ years;   Skills: Redis, Celery, REST API, Django, Nginx, Linux, MacOS, PostgreSQL,…⁠",https://www.work.ua/jobs/4660986/,
Преподаватель Python,,"Неповна зайнятість, дистанційна робота. Досвід роботи від 2 років.
                            Всем привет от IT Education Academy! Наша команда занимается качественной подготовкой специалистов IT…⁠",https://www.work.ua/jobs/4660375/,
Middle/Senior Python Developer,,"Повна зайнятість, дистанційна робота. Досвід роботи від 2 років. Вища освіта.
                            Локация: Remote Компания ищет специалистов разных уровней и на несколько проектов. Ниже пример одного…⁠",https://www.work.ua/jobs/4659609/,
